,,gas_price_gwei,gas_price_gwei,gas_price_gwei,gas_price_gwei,gas_price_gwei,gas_price_gwei,gas_used,gas_used,gas_used,gas_used,gas_used,gas_used,gasPrice_eth,gasPrice_eth,gasPrice_eth,gasPrice_eth,gasPrice_eth,gasPrice_eth,tcost_usd,tcost_usd,tcost_usd,tcost_usd,tcost_usd,tcost_usd
,,count,max,std,skew,mean,min,count,max,std,skew,mean,min,count,max,std,skew,mean,min,count,max,std,skew,mean,min
block_number,timestamp,,,,,,,,,,,,,,,,,,,,,,,,
18937520,2024-01-05 00:27:59,1377,156.498866839,12.21532066970768,9.958942715867765,18.93182346352288,16.421036552,1377,619930,87736.13771479431,2.7502296504321238,80285.64705882352,21000,1377,1.56498866839e-07,1.2215320669707678e-08,0.0,1.893182346352288e-08,1.6421036552e-08,1377,0.02240562976760595,0.002292045430669935,5.635968784816045,0.0015609572453434174,0.00034484176759199997
18937521,2024-01-05 00:28:11,1296,40.0,3.0825150721390147,3.100059949743558,18.34282196179861,16.059333253,1296,837859,100846.7528585914,4.659698572146891,76974.59722222222,21000,1296,4e-08,3.0825150721390146e-09,0.0,1.8342821961798613e-08,1.6059333253e-08,1296,0.014703866810025328,0.0017102911214439565,4.940530782963787,0.0013489820117845387,0.000337245998313
18937522,2024-01-05 00:28:23,1386,53.799280453,5.45924670058497,4.354377716727386,18.373700436045453,15.525635752,1386,1870472,206461.39457703955,5.623499488082735,114749.67532467532,21000,1386,5.3799280453000004e-08,5.45924670058497e-09,0.0,1.8373700436045454e-08,1.5525635752000002e-08,1386,0.029058971676314944,0.0033157006027941483,5.042519211091457,0.0020151664672528056,0.000326248350792
18937523,2024-01-05 00:28:35,1845,112.269454441,7.993068240230661,8.673484516161286,18.66192660780488,15.871268748,1845,301647,57009.95063309416,2.04162478934812,56761.52195121951,21000,1845,1.12269454441e-07,7.993068240230661e-09,0.0,1.8661926607804878e-08,1.5871268748000002e-08,1845,0.03386574412376433,0.00250785964382415,10.948500272437048,0.001166969292432799,0.00033329664370800006
18937524,2024-01-05 00:28:47,1332,61.709290439,5.303292600805191,6.088327142207263,17.90904723012838,15.426358994,1332,1545364,162437.17136877644,6.332279974137606,93572.83783783784,21000,1332,6.1709290439e-08,5.303292600805191e-09,0.0,1.790904723012838e-08,1.5426358994e-08,1332,0.03156615984040382,0.003110214842834921,6.9394074960088945,0.0016669330500337699,0.000323953538874
18937525,2024-01-05 00:28:59,1377,98.177626047,7.724190400488588,7.576032999959003,18.451114137934642,15.278366219,1377,327334,68559.73756675675,1.3869186862482148,78999.71895424837,21000,1377,9.8177626047e-08,7.724190400488579e-09,0.0,1.845111413793464e-08,1.5278366219000002e-08,1377,0.0194571364628726,0.001900717665445625,5.858922126202014,0.001491876304013112,0.000320845690599
18937526,2024-01-05 00:29:11,1728,36.044006339,2.514752047972043,3.698646943902118,16.428596599239583,14.907478405,1728,595601,85683.0581893137,2.471404693273252,77071.40625,21000,1728,3.6044006339e-08,2.514752047972042e-09,0.0,1.6428596599239584e-08,1.4907478405000002e-08,1728,0.010143371380070777,0.0014401793328985514,2.5033375356507688,0.0012734282305285898,0.00031307745058800006
18937527,2024-01-05 00:29:23,909,35.789826529,2.5691666211844453,4.357977370176913,16.474754920178217,14.892348124,909,1155716,177666.20128092702,4.373180812139582,103096.27722772278,21000,909,3.5789826529000003e-08,2.569166621184444e-09,0.0,1.647475492017822e-08,1.4892348124e-08,909,0.019750261089403132,0.00293191655592885,4.664515679788914,0.0016634024778008568,0.000312739310604
18937528,2024-01-05 00:29:35,1674,40.570121151,3.8139122931692166,2.837253557743053,16.64266187605914,14.313436138,1674,1185367,119643.99945001154,5.734202702657694,82654.30645161291,21000,1674,4.0570121151e-08,3.813912293169218e-09,0.0,1.6642661876059142e-08,1.4313436138000001e-08,1674,0.01706065421399502,0.0018076623215442151,5.22444175177164,0.0013237167402354439,0.00030058215889800004
18937529,2024-01-05 00:29:47,1287,39.358010682,3.4873969000025,2.445407982517241,17.02976146730769,14.358010682,1287,676177,104572.11962323477,3.37030778094526,78969.0,21000,1287,3.9358010682e-08,3.4873969000024977e-09,0.0,1.7029761467307694e-08,1.4358010682000001e-08,1287,0.009776174288922714,0.0015800486039357607,3.064966977869994,0.001280979031150921,0.000301728224322
